"Species_Binomial:","Life_Stage:","value","source","target","LinkGroup","Effect_Category:","Categorical_Effect","color"
"Coregonus clupeaformis",NA,2,12,21,"Coregonus clupeaformis","Density","Density - Specific","#fc8d62"
"Coregonus clupeaformis",NA,9,11,18,"Coregonus clupeaformis","Growth","50% hatching time","#fc8d62"
"Coregonus clupeaformis",NA,5,11,24,"Coregonus clupeaformis","Growth","Development rate","#fc8d62"
"Coregonus clupeaformis",NA,1,11,32,"Coregonus clupeaformis","Growth","Hatching window","#fc8d62"
"Coregonus clupeaformis",NA,3,11,26,"Coregonus clupeaformis","Growth","Length","#fc8d62"
"Coregonus clupeaformis",NA,3,11,19,"Coregonus clupeaformis","Growth","Mass","#fc8d62"
"Coregonus clupeaformis",NA,2,11,23,"Coregonus clupeaformis","Growth","Other - Specific","#fc8d62"
"Coregonus clupeaformis",NA,4,11,20,"Coregonus clupeaformis","Growth","Yolk","#fc8d62"
"Coregonus clupeaformis",NA,1,13,24,"Coregonus clupeaformis","Other","Development rate","#fc8d62"
"Coregonus clupeaformis",NA,2,13,31,"Coregonus clupeaformis","Other","Heart rate","#fc8d62"
"Coregonus clupeaformis",NA,1,13,19,"Coregonus clupeaformis","Other","Mass","#fc8d62"
"Coregonus clupeaformis",NA,3,13,34,"Coregonus clupeaformis","Other","O2 consumption","#fc8d62"
"Coregonus clupeaformis",NA,1,13,23,"Coregonus clupeaformis","Other","Other - Specific","#fc8d62"
"Coregonus clupeaformis",NA,2,13,22,"Coregonus clupeaformis","Other","Survival/normal development","#fc8d62"
"Coregonus clupeaformis",NA,1,13,20,"Coregonus clupeaformis","Other","Yolk","#fc8d62"
"Coregonus clupeaformis",NA,1,14,25,"Coregonus clupeaformis","Recruitment (general)","Year class strength","#fc8d62"
"Coregonus clupeaformis",NA,2,10,30,"Coregonus clupeaformis","Survival","Critical temp / thermal tolerance","#fc8d62"
"Coregonus clupeaformis",NA,4,10,17,"Coregonus clupeaformis","Survival","Hatching survival rate","#fc8d62"
"Coregonus clupeaformis",NA,2,10,29,"Coregonus clupeaformis","Survival","Predation","#fc8d62"
"Coregonus clupeaformis",NA,5,10,28,"Coregonus clupeaformis","Survival","Survival - Specific","#fc8d62"
"Coregonus fera",NA,1,11,24,"Coregonus fera","Growth","Development rate","#f1d894"
"Coregonus fera",NA,1,11,36,"Coregonus fera","Growth","Otolith growth","#f1d894"
